Model	User Usage Tier	Context Usage Tier	Monthly Input Tokens / User	Monthly Output Tokens / User	Total Monthly Tokens / User	Cost/PDF	Cost/User/Month	Total Cost (5000 Users)
Nemotron Nano 3 30B	50 PDFs	Aggressive (64k)	32,00,000	32,00,000	64,00,000	$0.02	$0.96	$4,800.00
		Above Avg (32k)	16,00,000	16,00,000	32,00,000	$0.01	$0.48	$2,400.00
		Average (16k)	8,00,000	8,00,000	16,00,000	$0.00	$0.24	$1,200.00
		Conservative (8k)	4,00,000	4,00,000	8,00,000	$0.00	$0.12	$600.00
	30 PDFs	Aggressive (64k)	19,20,000	19,20,000	38,40,000	$0.02	$0.58	$2,880.00
		Above Avg (32k)	9,60,000	9,60,000	19,20,000	$0.01	$0.29	$1,440.00
		Average (16k)	4,80,000	4,80,000	9,60,000	$0.00	$0.14	$720.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.00	$0.07	$360.00
	15 PDFs	Aggressive (64k)	9,60,000	9,60,000	19,20,000	$0.02	$0.29	$1,440.00
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.01	$0.14	$720.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.00	$0.07	$360.00
		Conservative (8k)	1,20,000	1,20,000	2,40,000	$0.00	$0.04	$180.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.02	$0.19	$960.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.01	$0.10	$480.00
		Average (16k)	1,60,000	1,60,000	3,20,000	$0.00	$0.05	$240.00
		Conservative (8k)	80,000	80,000	1,60,000	$0.00	$0.02	$120.00
---	---	---	---	---	---	---	---	---
Nemotron 3 Super 120B	50 PDFs	Aggressive (64k)	32,00,000	32,00,000	64,00,000	$0.05	$2.56	$12,800.00
		Above Avg (32k)	16,00,000	16,00,000	32,00,000	$0.03	$1.28	$6,400.00
		Average (16k)	8,00,000	8,00,000	16,00,000	$0.01	$0.64	$3,200.00
		Conservative (8k)	4,00,000	4,00,000	8,00,000	$0.01	$0.32	$1,600.00
	30 PDFs	Aggressive (64k)	19,20,000	19,20,000	38,40,000	$0.05	$1.54	$7,680.00
		Above Avg (32k)	9,60,000	9,60,000	19,20,000	$0.03	$0.77	$3,840.00
		Average (16k)	4,80,000	4,80,000	9,60,000	$0.01	$0.38	$1,920.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.01	$0.19	$960.00
	15 PDFs	Aggressive (64k)	9,60,000	9,60,000	19,20,000	$0.05	$0.77	$3,840.00
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.03	$0.38	$1,920.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.01	$0.19	$960.00
		Conservative (8k)	1,20,000	1,20,000	2,40,000	$0.01	$0.10	$480.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.05	$0.51	$2,560.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.03	$0.26	$1,280.00
